time; substrate ; rate ;type;ecnumber;;;;;;
0; 50,00 ;;irreversible;4.1.1.39;;;;;;
10; 47,46 ; 0,25 ;irreversible;4.1.1.39;;;;;;
40; 41,55 ; 0,20 ;irreversible;4.1.1.39;;;;;;
80; 28,30 ; 0,33 ;irreversible;4.1.1.39;;;;;;
120; 15,93 ; 0,31 ;irreversible;4.1.1.39;;;;;;
160; 8,23 ; 0,19 ;irreversible;4.1.1.39;;;;;;
200; 5,61 ; 0,07 ;irreversible;4.1.1.39;;;;;;
0; 50,00 ;;competitive;4.1.1.39;;;;;;
10; 42,76 ; 0,72 ;competitive;4.1.1.39;;;;;;
40; 35,38 ; 0,25 ;competitive;4.1.1.39;;;;;;
80; 26,83 ; 0,21 ;competitive;4.1.1.39;;;;;;
120; 12,99 ; 0,35 ;competitive;4.1.1.39;;;;;;
160; 5,88 ; 0,18 ;competitive;4.1.1.39;;;;;;
200; 5,32 ; 0,01 ;competitive;4.1.1.39;;;;;;
0; 50,00 ;;irreversible;3.1.3.9;;;;;;
10; 48,05 ; 0,20 ;irreversible;3.1.3.9;;;;;;
40; 34,50 ; 0,45 ;irreversible;3.1.3.9;;;;;;
80; 26,24 ; 0,21 ;irreversible;3.1.3.9;;;;;;
120; 13,87 ; 0,31 ;irreversible;3.1.3.9;;;;;;
160; 7,08 ; 0,17 ;irreversible;3.1.3.9;;;;;;
200; 3,53 ; 0,09 ;irreversible;3.1.3.9;;;;;;
0; 50,00 ;;activation;3.1.3.9;;;;;;
10; 36,88 ; 1,31 ;activation;3.1.3.9;;;;;;
40; 34,79 ; 0,07 ;activation;3.1.3.9;;;;;;
80; 25,65 ; 0,23 ;activation;3.1.3.9;;;;;;
120; 16,22 ; 0,24 ;activation;3.1.3.9;;;;;;
160; 7,05 ; 0,23 ;activation;3.1.3.9;;;;;;
200; 6,49 ; 0,01 ;activation;3.1.3.9;;;;;;
1;0,025; 0,02 ;irreversible;1.14.18.1;;;;;;
1,5;0,05; 0,03 ;irreversible;1.14.18.1;;;;;;
1,75;0,1; 0,05 ;irreversible;1.14.18.1;;;;;;
2;0,25; 0,14 ;irreversible;1.14.18.1;;;;;;
3;0,5; 0,17 ;irreversible;1.14.18.1;;;;;;
5;1; 0,24 ;irreversible;1.14.18.1;;;;;;
10;2,5; 0,30 ;irreversible;1.14.18.1;;;;;;
15;5; 0,34 ;irreversible;1.14.18.1;;;;;;
20;7,5; 0,35 ;irreversible;1.14.18.1;;;;;;
30;10; 0,37 ;irreversible;1.14.18.1;;;;;;
1;0.025; 1,10 ;irreversible;1.14.18.1;;;;;;
1,5;0,05; 2,60 ;irreversible;1.14.18.1;;;;;;
1,75;0,1; 2,90 ;irreversible;1.14.18.1;;;;;;
2;0,25; 3,70 ;irreversible;1.14.18.1;;;;;;
3;0,5; 6,90 ;irreversible;1.14.18.1;;;;;;
5;1; 13,10 ;irreversible;1.14.18.1;;;;;;
10;2,5; 26,90 ;irreversible;1.14.18.1;;;;;;
15;5; 49,60 ;irreversible;1.14.18.1;;;;;;
20;7,5; 50,30 ;irreversible;1.14.18.1;;;;;;
30;10; 60,70 ;irreversible;1.14.18.1;;;;;;
1;0.025; 0,00 ;irreversible;1.14.18.1;;;;;;
1,5;0,05; 0,00 ;irreversible;1.14.18.1;;;;;;
1,75;0,1; 0,00 ;irreversible;1.14.18.1;;;;;;
2;0,25; 0,00 ;irreversible;1.14.18.1;;;;;;
3;0,5; 0,00 ;irreversible;1.14.18.1;;;;;;
5;1; 0,01 ;irreversible;1.14.18.1;;;;;;
10;2,5; 0,01 ;irreversible;1.14.18.1;;;;;;
15;5; 0,04 ;irreversible;1.14.18.1;;;;;;
20;7,5; 0,05 ;irreversible;1.14.18.1;;;;;;
30;10; 0,06 ;irreversible;1.14.18.1;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
